#alt[m],rho[g/cm^3],thick[g/cm^2]
544,1.17162E-03,9.68276E+02
545,1.17150E-03,9.68159E+02
546,1.17138E-03,9.68042E+02
547,1.17125E-03,9.67924E+02
548,1.17113E-03,9.67807E+02
549,1.17101E-03,9.67690E+02
550,1.17089E-03,9.67573E+02
551,1.17076E-03,9.67456E+02
552,1.17064E-03,9.67339E+02
553,1.17052E-03,9.67222E+02
554,1.17040E-03,9.67105E+02
555,1.17027E-03,9.66988E+02
556,1.17015E-03,9.66871E+02
557,1.17003E-03,9.66754E+02
558,1.16991E-03,9.66637E+02
559,1.16978E-03,9.66520E+02
560,1.16966E-03,9.66403E+02
561,1.16954E-03,9.66286E+02
562,1.16941E-03,9.66169E+02
563,1.16929E-03,9.66052E+02
564,1.16917E-03,9.65935E+02
565,1.16905E-03,9.65818E+02
566,1.16892E-03,9.65701E+02
567,1.16880E-03,9.65584E+02
568,1.16868E-03,9.65467E+02
569,1.16856E-03,9.65351E+02
570,1.16843E-03,9.65234E+02
571,1.16831E-03,9.65117E+02
572,1.16819E-03,9.65000E+02
573,1.16807E-03,9.64883E+02
574,1.16795E-03,9.64766E+02
575,1.16782E-03,9.64650E+02
576,1.16770E-03,9.64533E+02
577,1.16758E-03,9.64416E+02
578,1.16746E-03,9.64299E+02
579,1.16733E-03,9.64183E+02
580,1.16721E-03,9.64066E+02
581,1.16709E-03,9.63949E+02
582,1.16697E-03,9.63832E+02
583,1.16684E-03,9.63716E+02
584,1.16672E-03,9.63599E+02
585,1.16660E-03,9.63482E+02
586,1.16648E-03,9.63366E+02
587,1.16636E-03,9.63249E+02
588,1.16623E-03,9.63132E+02
589,1.16611E-03,9.63016E+02
590,1.16599E-03,9.62899E+02
591,1.16587E-03,9.62783E+02
592,1.16574E-03,9.62666E+02
593,1.16562E-03,9.62549E+02
594,1.16550E-03,9.62433E+02
595,1.16538E-03,9.62316E+02
596,1.16526E-03,9.62200E+02
597,1.16513E-03,9.62083E+02
598,1.16501E-03,9.61967E+02
599,1.16489E-03,9.61850E+02
600,1.16477E-03,9.61734E+02
601,1.16465E-03,9.61617E+02
602,1.16452E-03,9.61501E+02
603,1.16440E-03,9.61384E+02
604,1.16428E-03,9.61268E+02
605,1.16416E-03,9.61151E+02
606,1.16404E-03,9.61035E+02
607,1.16391E-03,9.60919E+02
608,1.16379E-03,9.60802E+02
609,1.16367E-03,9.60686E+02
610,1.16355E-03,9.60570E+02
611,1.16343E-03,9.60453E+02
612,1.16330E-03,9.60337E+02
613,1.16318E-03,9.60220E+02
614,1.16306E-03,9.60104E+02
615,1.16294E-03,9.59988E+02
616,1.16282E-03,9.59872E+02
617,1.16269E-03,9.59755E+02
618,1.16257E-03,9.59639E+02
619,1.16245E-03,9.59523E+02
620,1.16233E-03,9.59407E+02
621,1.16221E-03,9.59290E+02
622,1.16208E-03,9.59174E+02
623,1.16196E-03,9.59058E+02
624,1.16184E-03,9.58942E+02
625,1.16172E-03,9.58825E+02
626,1.16160E-03,9.58709E+02
627,1.16148E-03,9.58593E+02
628,1.16135E-03,9.58477E+02
629,1.16123E-03,9.58361E+02
630,1.16111E-03,9.58245E+02
631,1.16099E-03,9.58129E+02
632,1.16087E-03,9.58013E+02
633,1.16075E-03,9.57896E+02
634,1.16062E-03,9.57780E+02
635,1.16050E-03,9.57664E+02
636,1.16038E-03,9.57548E+02
637,1.16026E-03,9.57432E+02
638,1.16014E-03,9.57316E+02
639,1.16002E-03,9.57200E+02
640,1.15989E-03,9.57084E+02
641,1.15977E-03,9.56968E+02
642,1.15965E-03,9.56852E+02
643,1.15953E-03,9.56736E+02
644,1.15941E-03,9.56620E+02
645,1.15929E-03,9.56504E+02
646,1.15917E-03,9.56388E+02
647,1.15904E-03,9.56272E+02
648,1.15892E-03,9.56157E+02
649,1.15880E-03,9.56041E+02
650,1.15868E-03,9.55925E+02
651,1.15856E-03,9.55809E+02
652,1.15844E-03,9.55693E+02
653,1.15832E-03,9.55577E+02
654,1.15819E-03,9.55461E+02
655,1.15807E-03,9.55346E+02
656,1.15795E-03,9.55230E+02
657,1.15783E-03,9.55114E+02
658,1.15771E-03,9.54998E+02
659,1.15759E-03,9.54882E+02
660,1.15747E-03,9.54767E+02
